,valor,Variable,Index
13045,0.0,vGenPlt,EOLICO_ATL.2#7850
13046,0.0,vGenPlt,EOLICO_BOL.2#7874
13047,0.0,vGenPlt,EOLICO_GCM.2#7898
13048,0.0,vGenPlt,EOLICO_CS.2#7922
13049,0.0,vGenPlt,EOLICO_CRR.2#7946
13050,223.09,vGenPlt,NDC_Proy.2#7970
13051,12.72,vGenPlt,NDC_ATL_Proy.2#7994
13052,5.03,vGenPlt,NDC_BOL_Proy.2#8018
13053,130.99,vGenPlt,NDC_GCM_Proy.2#8042
13054,276.19,vGenPlt,NDC_CS_Proy.2#8066
13055,0.0,vGenPlt,NDC_CRR_Proy.2#8090
13056,0.0,vGenPlt,SOLAR_INT_Proy.2#8114
13057,0.0,vGenPlt,SOLAR_ATL_Proy.2#8138
13058,0.0,vGenPlt,SOLAR_BOL_Proy.2#8162
13059,0.0,vGenPlt,SOLAR_GCM_Proy.2#8186
13060,0.0,vGenPlt,SOLAR_CS_Proy.2#8210
13061,0.0,vGenPlt,SOLAR_CRR_Proy.2#8234
13062,0.0,vGenPlt,EOLICO_INT_Proy.2#8258
13063,0.0,vGenPlt,EOLICO_ATL_Proy.2#8282
13064,0.0,vGenPlt,EOLICO_BOL_Proy.2#8306
13065,1132.04,vGenPlt,EOLICO_GCM_Proy.2#8330
13066,0.0,vGenPlt,EOLICO_CS_Proy.2#8354
13067,0.0,vGenPlt,EOLICO_CRR_Proy.2#8378
13068,20.0,vGenPlt,FLORES_I_CC.2#8402
13069,0.0,vGenPlt,FLORES_4_CC.2#8426
13070,0.0,vGenPlt,TEBSAB_CC.2#8450
13071,0.0,vGenPlt,TERMOCANDELARIA_CC.2#8474
13072,0.0,vGenPlt,TERMOCENTRO_CC.2#8498
13073,0.0,vGenPlt,TERMOEMCALI_CC.2#8522
13074,0.0,vGenPlt,TERMONORTE.2#8546
13075,0.0,vGenPlt,TERMOSIERRA_CC.2#8570
13076,0.0,vGenPlt,TERMOVALLE_CC.2#8594
13077,0.0,vGenPlt,TESORITO.2#8618
13078,0.0,vGenPlt,VILLANUEVA.2#8642
13079,10.0,vGenPlt,ALBAN.2#8666
13080,0.0,vGenPlt,AMOYA_LA_ESPERANZA.2#8690
13081,60.0,vGenPlt,BETANIA.2#8714
13082,0.0,vGenPlt,CALIMA.2#8738
13083,78.0,vGenPlt,CARLOS_LLERAS.2#8762
13084,0.0,vGenPlt,CHIVOR.2#8786
13085,56.0,vGenPlt,CUCUANA.2#8810
13086,136.0,vGenPlt,DARIO_VALENCIA_SAMPER.2#8834
13087,100.0,vGenPlt,EL_QUIMBO.2#8858
13088,55.0,vGenPlt,ESCUELA_DE_MINAS.2#8882
13089,30.0,vGenPlt,ESMERALDA.2#8906
13090,535.0,vGenPlt,GUATRON.2#8930
13091,560.0,vGenPlt,GUATAPE.2#8954
13092,1250.0,vGenPlt,GUAVIO.2#8978
13093,900.0,vGenPlt,ITUANGO.2#9002
13094,0.0,vGenPlt,JAGUAS.2#9026
13095,0.0,vGenPlt,PAGUA.2#9050
13096,0.0,vGenPlt,LA_TASAJERA.2#9074
13097,33.0,vGenPlt,MIEL_I.2#9098
13098,207.0,vGenPlt,PLAYAS.2#9122
13099,405.0,vGenPlt,PORCE_II.2#9146
13100,680.0,vGenPlt,PORCE_III.2#9170
13101,0.0,vGenPlt,PRADO.2#9194
13102,35.0,vGenPlt,SALTO_II.2#9218
13103,0.0,vGenPlt,SALVAJINA.2#9242
13104,475.2055000000007,vGenPlt,SAN_CARLOS.2#9266
13105,0.0,vGenPlt,SAN_FRANCISCO.2#9290
13106,50.0,vGenPlt,SAN_MIGUEL.2#9314
13107,500.0,vGenPlt,SOGAMOSO.2#9338
13108,338.0,vGenPlt,URRA.2#9362
13109,0.0,vGenPlt,CARACOLI_I.2#9386
13110,0.0,vGenPlt,EL_PASO.2#9410
13111,0.0,vGenPlt,FUNDACION.2#9434
13112,0.0,vGenPlt,GUAYEPO.2#9458
13113,0.0,vGenPlt,LATAM_SOLAR_LA_LOMA.2#9482
13114,0.0,vGenPlt,PARQUE_SOLAR_LA_UNION.2#9506
13115,0.0,vGenPlt,TEBSA240.3#6243
13116,0.0,vGenPlt,BARRANQUILLA_3.3#6267
13117,0.0,vGenPlt,BARRANQUILLA_4.3#6291
13118,0.0,vGenPlt,CARTAGENA_1.3#6315
13119,0.0,vGenPlt,CARTAGENA_2.3#6339
13120,0.0,vGenPlt,CARTAGENA_3.3#6363
13121,0.0,vGenPlt,GECELCA_3.3#6387
13122,0.0,vGenPlt,GECELCA_32.3#6411
13123,0.0,vGenPlt,GUAJIRA_1.3#6435
13124,0.0,vGenPlt,GUAJIRA_2.3#6459
13125,0.0,vGenPlt,MERILECTRICA_1.3#6483
13126,0.0,vGenPlt,PAIPA_1.3#6507
13127,72.0,vGenPlt,PAIPA_2.3#6531
13128,70.0,vGenPlt,PAIPA_3.3#6555
13129,165.0,vGenPlt,PAIPA_4.3#6579
13130,0.0,vGenPlt,PROELECTRICA_1.3#6603
13131,0.0,vGenPlt,PROELECTRICA_2.3#6627
13132,0.0,vGenPlt,TASAJERO_1.3#6651
13133,0.0,vGenPlt,TASAJERO_2.3#6675
13134,38.0,vGenPlt,TERMOCARIBE_III_1.3#6699
13135,0.0,vGenPlt,TERMODORADA_1.3#6723
13136,0.0,vGenPlt,TERMOYOPAL_1.3#6747
13137,0.0,vGenPlt,TERMOYOPAL_2.3#6771
13138,50.0,vGenPlt,TERMOYOPAL_G3.3#6795
13139,0.0,vGenPlt,TERMOYOPAL_G4.3#6819
13140,50.0,vGenPlt,TERMOYOPAL_G5.3#6843
13141,0.0,vGenPlt,ZIPAEMG_2.3#6867
13142,0.0,vGenPlt,ZIPAEMG_3.3#6891
13143,0.0,vGenPlt,ZIPAEMG_4.3#6915
13144,0.0,vGenPlt,ZIPAEMG_5.3#6939
13145,0.0,vGenPlt,DC_TR_INT_Proy.3#6963
13146,0.0,vGenPlt,DC_TR_ATL_Proy.3#6987
13147,0.0,vGenPlt,DC_TR_BOL_Proy.3#7011
13148,0.0,vGenPlt,DC_TR_GCM_Proy.3#7035
13149,0.0,vGenPlt,DC_TR_CS_Proy.3#7059
13150,0.0,vGenPlt,DC_TR_CRR_Proy.3#7083
13151,0.0,vGenPlt,DC_TR_INT_Proy_1.3#7107
13152,0.0,vGenPlt,DC_TR_ATL_Proy_1.3#7131
13153,0.0,vGenPlt,DC_TR_BOL_Proy_1.3#7155
13154,0.0,vGenPlt,DC_TR_GCM_Proy_1.3#7179
13155,0.0,vGenPlt,DC_TR_CS_Proy_1.3#7203
13156,0.0,vGenPlt,DC_TR_CRR_Proy_1.3#7227
13157,0.0,vGenPlt,DC_TR_INT_Proy_2.3#7251
13158,0.0,vGenPlt,DC_TR_ATL_Proy_2.3#7275
13159,0.0,vGenPlt,DC_TR_BOL_Proy_2.3#7299
13160,0.0,vGenPlt,DC_TR_GCM_Proy_2.3#7323
13161,0.0,vGenPlt,DC_TR_CS_Proy_2.3#7347
13162,0.0,vGenPlt,DC_TR_CRR_Proy_2.3#7371
13163,1415.9,vGenPlt,DC_HD_INT_Proy.3#7395
13164,0.0,vGenPlt,DC_HD_ATL_Proy.3#7419
13165,0.0,vGenPlt,DC_HD_BOL_Proy.3#7443
13166,0.0,vGenPlt,DC_HD_GCM_Proy.3#7467
13167,0.0,vGenPlt,DC_HD_CS_Proy.3#7491
13168,0.0,vGenPlt,DC_HD_CRR_Proy.3#7515
13169,666.0,vGenPlt,NDC.3#7539
13170,5.0,vGenPlt,NDC_ATL.3#7563
13171,8.0,vGenPlt,NDC_BOL.3#7587
13172,23.0,vGenPlt,NDC_GCM.3#7611
13173,0.0,vGenPlt,NDC_CS.3#7635
13174,0.0,vGenPlt,NDC_CRR.3#7659
13175,0.0,vGenPlt,SOLAR_INT.3#7683
13176,0.0,vGenPlt,SOLAR_ATL.3#7707
13177,0.0,vGenPlt,SOLAR_BOL.3#7731
13178,0.0,vGenPlt,SOLAR_GCM.3#7755
13179,0.0,vGenPlt,SOLAR_CS.3#7779
13180,0.0,vGenPlt,SOLAR_CRR.3#7803
13181,0.0,vGenPlt,EOLICO_INT.3#7827
13182,0.0,vGenPlt,EOLICO_ATL.3#7851
13183,0.0,vGenPlt,EOLICO_BOL.3#7875
13184,0.0,vGenPlt,EOLICO_GCM.3#7899
13185,0.0,vGenPlt,EOLICO_CS.3#7923
13186,0.0,vGenPlt,EOLICO_CRR.3#7947
13187,224.17,vGenPlt,NDC_Proy.3#7971
13188,12.62,vGenPlt,NDC_ATL_Proy.3#7995
13189,5.06,vGenPlt,NDC_BOL_Proy.3#8019
13190,129.88,vGenPlt,NDC_GCM_Proy.3#8043
13191,274.31,vGenPlt,NDC_CS_Proy.3#8067
13192,0.0,vGenPlt,NDC_CRR_Proy.3#8091
13193,0.0,vGenPlt,SOLAR_INT_Proy.3#8115
13194,0.0,vGenPlt,SOLAR_ATL_Proy.3#8139
13195,0.0,vGenPlt,SOLAR_BOL_Proy.3#8163
13196,0.0,vGenPlt,SOLAR_GCM_Proy.3#8187
13197,0.0,vGenPlt,SOLAR_CS_Proy.3#8211
13198,0.0,vGenPlt,SOLAR_CRR_Proy.3#8235
