RecCops,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CUCUANA,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
DARIO_VALENCIA_SAMPER,150.0,150.0,150.0,150.0,150.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,150.0,150.0
ESMERALDA,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
GUATAPE,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0
GUATRON,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,398.62,394.87,393.58,393.43,409.0,392.0,440.0,440.0
GUAVIO,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0,1245.0
ESCUELA_DE_MINAS,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
MIEL_I,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0
JAGUAS,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0
LA_TASAJERA,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0,306.0
AMOYA_LA_ESPERANZA,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
ITUANGO,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
PAGUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAYAS,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0
PORCE_II,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0
PORCE_III,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,180.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
PRADO,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
EL_QUIMBO,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
SALVAJINA,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0
SAN_MIGUEL,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
SAN_CARLOS,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,1240.0
SAN_FRANCISCO,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0
SOGAMOSO,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0
URRA,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,154.0,154.0,154.0,79.0,79.0,79.0,79.0,154.0,228.0,228.0,228.0,228.0,228.0,154.0
SALTO_II,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
CARACOLI_I,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,26.0,29.0,37.0,36.0,35.0,33.0,31.0,25.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
EL_PASO,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,56.0,68.0,68.0,68.0,68.0,64.0,64.0,60.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
FUNDACION,0.0,0.0,0.0,0.0,0.0,0.0,11.0,34.0,71.0,75.0,71.0,69.0,69.0,70.0,60.0,42.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUAYEPO,0.0,0.0,0.0,0.0,0.0,0.0,45.0,173.0,268.0,327.0,330.0,328.0,328.0,298.0,228.0,200.0,105.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
LATAM_SOLAR_LA_LOMA,0.0,0.0,0.0,0.0,0.0,0.0,8.0,41.0,91.0,142.0,142.0,135.0,123.0,107.0,90.0,85.0,63.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
PARQUE_SOLAR_LA_UNION,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,28.0,58.0,83.0,84.0,82.0,81.0,82.0,79.0,54.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
NDC_ATL,4.0,3.0,2.0,2.0,2.0,2.0,13.0,38.0,77.0,103.0,114.0,129.0,125.0,123.0,108.0,46.0,44.0,18.0,3.0,2.0,3.0,3.0,2.0,2.0
NDC_BOL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,10.0,15.0,15.0,16.0,18.0,18.0,3.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
NDC_CRR,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,20.0,40.0,44.0,43.0,39.0,38.0,35.0,30.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
NDC_CS,0.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,52.0,78.0,92.0,96.0,104.0,100.0,98.0,92.0,70.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
NDC_GCM,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,28.0,36.0,35.0,38.0,45.0,33.0,19.0,14.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
NDC,833.0,837.0,833.0,834.0,835.0,835.0,873.0,966.0,1078.0,1157.0,1103.0,1157.0,1188.0,1158.0,1092.0,1067.0,954.0,803.0,783.0,785.0,778.0,789.0,783.0,783.0
SOLAR_ATL,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,32.0,43.0,42.0,45.0,44.0,36.0,28.0,21.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLAR_INT,0.0,0.0,0.0,0.0,0.0,0.0,34.0,150.0,258.0,333.0,359.0,365.0,356.0,327.0,296.0,249.0,155.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
