,fecha,tipo
322,2036-08-24,domingo
323,2036-08-31,domingo
324,2036-09-07,domingo
325,2036-09-14,domingo
326,2036-09-21,domingo
327,2036-09-28,domingo
328,2036-10-05,domingo
329,2036-10-12,domingo
330,2036-10-13,festivo
331,2036-10-19,domingo
332,2036-10-26,domingo
333,2036-11-02,domingo
334,2036-11-03,festivo
335,2036-11-09,domingo
336,2036-11-16,domingo
337,2036-11-17,festivo
338,2036-11-23,domingo
339,2036-11-30,domingo
340,2036-12-07,domingo
341,2036-12-08,festivo
342,2036-12-14,domingo
343,2036-12-21,domingo
344,2036-12-25,festivo
345,2036-12-28,domingo
346,2037-01-01,festivo
347,2037-01-04,domingo
348,2037-01-11,domingo
349,2037-01-12,festivo
350,2037-01-18,domingo
351,2037-01-25,domingo
352,2037-02-01,domingo
353,2037-02-08,domingo
354,2037-02-15,domingo
355,2037-02-22,domingo
356,2037-03-01,domingo
357,2037-03-08,domingo
358,2037-03-15,domingo
359,2037-03-22,domingo
360,2037-03-23,festivo
361,2037-03-29,domingo
362,2037-04-02,festivo
363,2037-04-03,festivo
364,2037-04-05,domingo
365,2037-04-12,domingo
366,2037-04-19,domingo
367,2037-04-26,domingo
368,2037-05-01,festivo
369,2037-05-03,domingo
370,2037-05-10,domingo
371,2037-05-17,domingo
372,2037-05-18,festivo
373,2037-05-24,domingo
374,2037-05-31,domingo
375,2037-06-07,domingo
376,2037-06-08,festivo
377,2037-06-14,domingo
378,2037-06-15,festivo
379,2037-06-21,domingo
380,2037-06-28,domingo
381,2037-06-29,festivo
382,2037-07-05,domingo
383,2037-07-12,domingo
384,2037-07-19,domingo
385,2037-07-20,festivo
386,2037-07-26,domingo
387,2037-08-02,domingo
388,2037-08-07,festivo
389,2037-08-09,domingo
390,2037-08-16,domingo
391,2037-08-17,festivo
392,2037-08-23,domingo
393,2037-08-30,domingo
394,2037-09-06,domingo
395,2037-09-13,domingo
396,2037-09-20,domingo
397,2037-09-27,domingo
398,2037-10-04,domingo
399,2037-10-11,domingo
400,2037-10-12,festivo
401,2037-10-18,domingo
402,2037-10-25,domingo
403,2037-11-01,domingo
404,2037-11-02,festivo
405,2037-11-08,domingo
406,2037-11-15,domingo
407,2037-11-16,festivo
408,2037-11-22,domingo
409,2037-11-29,domingo
410,2037-12-06,domingo
411,2037-12-08,festivo
412,2037-12-13,domingo
413,2037-12-20,domingo
414,2037-12-25,festivo
415,2037-12-27,domingo
416,2038-01-01,festivo
417,2038-01-03,domingo
418,2038-01-10,domingo
419,2038-01-11,festivo
420,2038-01-17,domingo
421,2038-01-24,domingo
422,2038-01-31,domingo
423,2038-02-07,domingo
424,2038-02-14,domingo
425,2038-02-21,domingo
426,2038-02-28,domingo
427,2038-03-07,domingo
428,2038-03-14,domingo
429,2038-03-21,domingo
430,2038-03-22,festivo
431,2038-03-28,domingo
432,2038-04-04,domingo
433,2038-04-11,domingo
434,2038-04-18,domingo
435,2038-04-22,festivo
436,2038-04-23,festivo
437,2038-04-25,domingo
438,2038-05-01,festivo
439,2038-05-02,domingo
440,2038-05-09,domingo
441,2038-05-16,domingo
442,2038-05-23,domingo
443,2038-05-30,domingo
444,2038-06-06,domingo
445,2038-06-07,festivo
446,2038-06-13,domingo
447,2038-06-20,domingo
448,2038-06-27,domingo
449,2038-06-28,festivo
450,2038-07-04,domingo
451,2038-07-05,festivo
452,2038-07-11,domingo
453,2038-07-18,domingo
454,2038-07-20,festivo
455,2038-07-25,domingo
456,2038-08-01,domingo
457,2038-08-07,festivo
458,2038-08-08,domingo
459,2038-08-15,domingo
460,2038-08-16,festivo
461,2038-08-22,domingo
462,2038-08-29,domingo
463,2038-09-05,domingo
464,2038-09-12,domingo
465,2038-09-19,domingo
466,2038-09-26,domingo
467,2038-10-03,domingo
468,2038-10-10,domingo
469,2038-10-17,domingo
470,2038-10-18,festivo
471,2038-10-24,domingo
472,2038-10-31,domingo
473,2038-11-01,festivo
474,2038-11-07,domingo
475,2038-11-14,domingo
476,2038-11-15,festivo
477,2038-11-21,domingo
478,2038-11-28,domingo
479,2038-12-05,domingo
480,2038-12-08,festivo
481,2038-12-12,domingo
482,2038-12-19,domingo
